IMAGE_VERSION,IMAGE_REF_NAME,render,php,apache,postgresql,mysql,libphp,moodle
"4.1.10","4.1.10-debian-12-r4","render-template-1.0.6-13-linux-amd64-debian-12","php-8.1.28-7-linux-amd64-debian-12","apache-2.4.59-2-linux-amd64-debian-12","postgresql-client-13.15.0-1-linux-amd64-debian-12","mysql-client-11.3.2-3-linux-amd64-debian-12","libphp-8.1.28-1-linux-amd64-debian-12","moodle-4.1.10-1-linux-amd64-debian-12"

"4.1.10","4.1.10-debian-12-r3","render-template-1.0.6-12-linux-amd64-debian-12","php-8.1.28-6-linux-amd64-debian-12","apache-2.4.59-0-linux-amd64-debian-12","postgresql-client-13.14.0-2-linux-amd64-debian-12","mysql-client-11.3.2-2-linux-amd64-debian-12","libphp-8.1.28-0-linux-amd64-debian-12","moodle-4.1.10-0-linux-amd64-debian-12"

"4.1.10","4.1.10-debian-12-r2","render-template-1.0.6-11-linux-amd64-debian-12","php-8.1.28-5-linux-amd64-debian-12","apache-2.4.59-0-linux-amd64-debian-12","postgresql-client-13.14.0-2-linux-amd64-debian-12","mysql-client-11.3.2-2-linux-amd64-debian-12","libphp-8.1.28-0-linux-amd64-debian-12","moodle-4.1.10-0-linux-amd64-debian-12"

"4.1.10","4.1.10-debian-12-r1","render-template-1.0.6-11-linux-amd64-debian-12","php-8.1.28-4-linux-amd64-debian-12","apache-2.4.59-0-linux-amd64-debian-12","postgresql-client-13.14.0-2-linux-amd64-debian-12","mysql-client-11.3.2-2-linux-amd64-debian-12","libphp-8.1.28-0-linux-amd64-debian-12","moodle-4.1.10-0-linux-amd64-debian-12"

"4.1.10","4.1.10-debian-12-r0","render-template-1.0.6-11-linux-amd64-debian-12","php-8.1.28-3-linux-amd64-debian-12","apache-2.4.59-0-linux-amd64-debian-12","postgresql-client-13.14.0-2-linux-amd64-debian-12","mysql-client-11.3.2-2-linux-amd64-debian-12","libphp-8.1.28-0-linux-amd64-debian-12","moodle-4.1.10-0-linux-amd64-debian-12"

"4.1.9","4.1.9-debian-12-r8","render-template-1.0.6-11-linux-amd64-debian-12","php-8.1.27-9-linux-amd64-debian-12","apache-2.4.59-0-linux-amd64-debian-12","postgresql-client-13.14.0-2-linux-amd64-debian-12","mysql-client-11.3.2-0-linux-amd64-debian-12","libphp-8.1.27-4-linux-amd64-debian-12","moodle-4.1.9-1-linux-amd64-debian-12"

"4.1.9","4.1.9-debian-12-r7","render-template-1.0.6-10-linux-amd64-debian-12","php-8.1.27-9-linux-amd64-debian-12","apache-2.4.58-8-linux-amd64-debian-12","postgresql-client-13.14.0-2-linux-amd64-debian-12","mysql-client-11.2.3-1-linux-amd64-debian-12","libphp-8.1.27-3-linux-amd64-debian-12","moodle-4.1.9-1-linux-amd64-debian-12"

"4.1.9","4.1.9-debian-12-r6","render-template-1.0.6-10-linux-amd64-debian-12","php-8.1.27-9-linux-amd64-debian-12","apache-2.4.58-8-linux-amd64-debian-12","postgresql-client-13.14.0-2-linux-amd64-debian-12","mysql-client-11.2.3-1-linux-amd64-debian-12","libphp-8.1.27-3-linux-amd64-debian-12","moodle-4.1.9-1-linux-amd64-debian-12"

"4.1.9","4.1.9-debian-12-r5","render-template-1.0.6-9-linux-amd64-debian-12","php-8.1.27-6-linux-amd64-debian-12","apache-2.4.58-7-linux-amd64-debian-12","postgresql-client-13.14.0-2-linux-amd64-debian-12","mysql-client-11.2.3-1-linux-amd64-debian-12","libphp-8.1.27-3-linux-amd64-debian-12","moodle-4.1.9-1-linux-amd64-debian-12"

"4.1.9","4.1.9-debian-12-r4","render-template-1.0.6-9-linux-amd64-debian-12","php-8.1.27-6-linux-amd64-debian-12","apache-2.4.58-7-linux-amd64-debian-12","postgresql-client-13.14.0-2-linux-amd64-debian-12","mysql-client-11.2.3-1-linux-amd64-debian-12","libphp-8.1.27-3-linux-amd64-debian-12","moodle-4.1.9-1-linux-amd64-debian-12"

"4.1.9","4.1.9-debian-12-r3","render-template-1.0.6-9-linux-amd64-debian-12","php-8.1.27-6-linux-amd64-debian-12","apache-2.4.58-7-linux-amd64-debian-12","postgresql-client-13.14.0-2-linux-amd64-debian-12","mysql-client-11.2.3-1-linux-amd64-debian-12","libphp-8.1.27-3-linux-amd64-debian-12","moodle-4.1.9-1-linux-amd64-debian-12"

"4.1.9","4.1.9-debian-12-r2","render-template-1.0.6-8-linux-amd64-debian-12","php-8.1.27-6-linux-amd64-debian-12","apache-2.4.58-7-linux-amd64-debian-12","postgresql-client-13.14.0-1-linux-amd64-debian-12","mysql-client-11.2.3-1-linux-amd64-debian-12","libphp-8.1.27-3-linux-amd64-debian-12","moodle-4.1.9-1-linux-amd64-debian-12"

"4.1.9","4.1.9-debian-12-r1","render-template-1.0.6-8-linux-amd64-debian-12","php-8.1.27-5-linux-amd64-debian-12","apache-2.4.58-6-linux-amd64-debian-12","postgresql-client-13.14.0-0-linux-amd64-debian-12","mysql-client-11.2.3-0-linux-amd64-debian-12","libphp-8.1.27-2-linux-amd64-debian-12","moodle-4.1.9-0-linux-amd64-debian-12"
